Player,Span,Mat,Mdns,Wkts,BBI,Ave,Econ,SR,4,5
JO Holder,2017-2023,47,1,48,5/27,27.89,8.23,20.3,2,1
SS Cottrell,2018-2023,39,3,44,4/28,24.11,7.98,18.1,1,0
OC McCoy,2019-2022,27,1,38,6/17,19.97,8.38,14.2,2,1
OF Smith,2018-2023,26,0,27,3/29,27.48,10.16,16.2,0,0
AJ Hosein,2021-2023,34,0,26,4/30,30.76,7.33,25.1,1,0
HR Walsh,2019-2022,30,0,25,3/23,28.16,8.09,20.8,0,0
AS Joseph,2022-2023,12,0,22,5/40,16.36,7.82,12.5,1,1
R Shepherd,2020-2023,26,0,22,3/21,34.45,10.57,19.5,0,0
KA Pollard,2016-2022,56,0,20,4/25,29.50,8.46,20.9,1,0
RL Chase,2021-2023,8,0,6,3/25,21.33,6.98,18.3,0,0
DC Drakes,2021-2022,10,0,6,1/19,48.33,9.06,32.0,0,0
R Powell,2017-2023,58,0,5,2/31,31.80,9.35,20.4,0,0
RA Reifer,2022-2023,3,0,1,1/42,60.00,12.00,30.0,0,0
KR Mayers,2020-2023,24,0,0,-,-,10.00,-,0,0
SSJ Brooks,2021-2022,13,-,-,-,-,-,-,-,-
J Charles,2016-2023,18,-,-,-,-,-,-,-,-
BA King,2019-2023,35,-,-,-,-,-,-,-,-
