Mat,Won,Lost,Inns,HS,LS,Opposition
1,1,0,1,183,-,England
2,2,0,2,183,-,Sri Lanka
3,3,0,3,183,-,South Africa
4,3,1,4,183,-,Afghanistan
5,4,1,5,196,-,India
6,5,1,6,196,-,England
7,6,1,7,245,-,India
8,6,1,8,245,143,India
9,6,2,9,245,115,Pakistan
10,6,3,10,245,115,Pakistan
11,6,4,11,245,115,Pakistan
12,6,5,12,245,115,Pakistan
13,6,6,13,245,115,Pakistan
14,7,6,14,245,115,Pakistan
15,7,7,15,245,115,Pakistan
16,8,7,16,245,115,Afghanistan
17,9,7,17,245,115,Afghanistan
18,10,7,18,245,115,Afghanistan
19,11,7,19,245,115,India
20,12,7,20,245,115,England
21,12,8,21,245,115,New Zealand
22,12,8,21,245,115,New Zealand
23,12,9,22,245,115,New Zealand
24,12,10,23,245,60,Pakistan
25,12,11,24,245,60,Pakistan
26,12,12,25,245,60,Pakistan
28,14,12,27,245,60,Bangladesh
29,14,13,28,245,60,Bangladesh
30,14,14,29,245,60,Bangladesh
31,14,15,30,245,60,India
32,14,16,31,245,60,India
33,14,17,32,245,60,India
34,15,17,33,245,60,Bangladesh
35,15,18,34,245,60,Bangladesh
36,16,18,35,245,60,Bangladesh
37,16,19,36,245,60,England
38,16,20,37,245,45,England
39,16,21,38,245,45,England
40,16,22,39,245,45,India
41,16,23,40,245,45,India
42,16,24,41,245,45,India
43,17,24,42,245,45,Afghanistan
44,17,25,43,245,45,Afghanistan
45,17,26,44,245,45,Afghanistan
46,17,27,45,245,45,India
47,18,27,46,245,45,India
48,18,28,47,245,45,India
49,18,29,48,245,45,Ireland
50,18,29,49,245,45,Ireland
51,19,29,50,245,45,Ireland
52,20,29,51,245,45,Sri Lanka
53,21,29,52,245,45,Sri Lanka
54,21,30,53,245,45,New Zealand
55,21,31,54,245,45,New Zealand
56,21,31,55,245,45,New Zealand
57,22,31,56,245,45,Sri Lanka
58,22,32,57,245,45,Sri Lanka
59,23,32,58,245,45,Sri Lanka
60,24,32,59,245,45,South Africa
61,24,33,60,245,45,South Africa
62,24,34,61,245,45,South Africa
63,25,34,62,245,45,South Africa
64,25,35,63,245,45,South Africa
65,26,35,64,245,45,Australia
66,27,35,65,245,45,Australia
67,28,35,66,245,45,Australia
68,28,36,67,245,45,Australia
69,29,36,68,245,45,Australia
70,29,36,69,245,45,Pakistan
71,29,37,70,245,45,Pakistan
72,29,37,71,245,45,Pakistan
73,29,37,72,245,45,Pakistan
74,29,38,73,245,45,England
75,29,39,74,245,45,South Africa
76,30,39,75,245,45,Bangladesh
77,30,40,76,245,45,Sri Lanka
78,30,41,77,245,45,Australia
79,30,42,78,245,45,Pakistan
80,30,43,79,245,45,Pakistan
81,30,44,80,245,45,Pakistan
82,31,44,81,245,45,England
83,31,45,82,245,45,England
84,32,45,83,245,45,England
85,32,46,84,245,45,England
86,33,46,85,245,45,England
87,33,47,86,245,45,India
88,33,48,87,245,45,India
89,33,49,88,245,45,India
90,33,49,88,245,45,Bangladesh
91,34,49,89,245,45,Bangladesh
92,35,49,90,245,45,Bangladesh
93,35,50,91,245,45,India
94,36,50,92,245,45,India
95,36,51,93,245,45,India
96,36,52,94,245,45,India
97,36,53,95,245,45,India
98,36,54,96,245,45,New Zealand
99,36,55,97,245,45,New Zealand
100,37,55,98,245,45,New Zealand
101,37,56,99,245,45,Australia
102,37,57,100,245,45,Australia
103,37,58,101,245,45,Scotland
104,38,58,102,245,45,Zimbabwe
105,38,59,103,245,45,Ireland
106,39,59,104,245,45,South Africa
107,39,60,105,258,45,South Africa
108,40,60,106,258,45,South Africa
